	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A8BEQ2	Uncharacterized protein (A8BEQ2_GIAIC)	GL50803_101278		149.67943021042967	75.49	21.88	101.75691363924524	Oxidation of M(M29, M138, M1111)	Oxidation of M(3)			Single Protein		A8BEQ2	29	57	57	29	57	29	60	115	100.0	Confident
2	A8B508	Uncharacterized protein (A8B508_GIAIC)	GL50803_9363		190.8921600173	67.43	1.17	8.879577043900206					Single Protein		A8B508	2	11	11	2	11	2	3	11	100.0	Confident
3	A8BW38	Protein kinase domain-containing protein (A8BW38_GIAIC)	GL50803_17625		39.948536661270346	71.43	4.0	39.4612250579103	Oxidation of M(M339)	Oxidation of M(1)			Single Protein		A8BW38	2	7	7	2	7	2	2	8	85.18518518518519	Doubtful
4	A8BVR5	Coatomer gamma subunit (A8BVR5_GIAIC)	GL50803_5603		105.19407896283258	78.23	1.15	16.92723088043539					Single Protein		A8BVR5	1	6	6	1	6	1	2	7	100.0	Doubtful
6	A8B519	Uncharacterized protein (A8B519_GIAIC)	GL50803_14963		96.6997582266218	77.34	3.7	16.05747232257648					Single Protein		A8B519	3	15	15	3	15	3	3	15	100.0	Confident
7	A8B518	Kinesin motor domain-containing protein (A8B518_GIAIC)	GL50803_112846		120.4417113298863	62.74	9.13	16.050158646501693					Single Protein		A8B518	8	23	6	1	6	1	10	23	100.0	Confident
9	A8BW44	Pyruvate kinase (A8BW44_GIAIC)	GL50803_3206		70.69334435289828	81.35	7.95	28.345902512258903	Oxidation of M(M298)	Oxidation of M(1)			Single Protein		A8BW44	5	17	17	5	17	5	5	17	100.0	Confident
10	A8BEQ9	Putative replication factor-a protein (A8BEQ9_GIAIC)	GL50803_13075		53.53089040107102	87.16	3.11	16.26601092416838					Single Protein		A8BEQ9	1	5	5	1	5	1	1	5	100.0	Doubtful
11	A8B4Q7	Ankyrin repeat protein 1 (A8B4Q7_GIAIC)	GL50803_17586		52.51925760340466	66.25	15.21	41.031378907812126	Oxidation of M(M296, M318)	Oxidation of M(2)			Single Protein		A8B4Q7	4	8	7	4	7	4	4	8	100.0	Confident
12	A8BVT2	Midasin (A8BVT2_GIAIC)	GL50803_39312		539.3842364507724	70.03	0.0	0.0					Single Protein		A8BVT2	0	31	31	0	31	0	1	32	92.5925925925926	Doubtful
